pattern_id,pattern_name,category,description,behavior_signature,risk_level,recommended_action,expected_agent_response,expected_customer_response
PAT0089,Bank SMS Phishing,Phishing,SMS with link to fake banking site that captures credentials and initiates unauthorized transfers.,sms_link|bank_impersonation|credential_theft,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I appreciate the alert. Let me verify this independently first.
PAT0090,UPI Collect Request Fraud,Phishing,"Sends UPI collect request disguised as refund or cashback, tricking user into approving payment.",upi_collect|refund_disguise|social_engineering,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,"I know this person, I want to proceed anyway."
PAT0091,Email Invoice Phishing,Phishing,Sends fake invoice from known vendor with modified bank account details for payment.,email_phishing|invoice_fraud|account_substitution,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I understand the risk but I still want to continue.
PAT0092,QR Code Payment Fraud,Phishing,Provides QR code claiming to receive payment but actually initiates a debit from victim's account.,qr_code|reverse_payment|social_engineering,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I understand the risk but I still want to continue.
PAT0093,Job Scam Variant #93,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0094,Lottery Scam Variant #94,Lottery Scam,Variant of lottery scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0095,Crypto Scam Variant #95,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,Thank you for the warning. I will cancel this transaction.
PAT0096,Fake Bank Officer Variant #96,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I didn't realize this was a scam. I will not proceed.
PAT0097,Fake Bank Officer Variant #97,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I didn't realize this was a scam. I will not proceed.
PAT0098,Impersonation Scam Variant #98,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I didn't realize this was a scam. I will not proceed.
PAT0099,Impersonation Scam Variant #99,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I didn't realize this was a scam. I will not proceed.
PAT0100,Tech Support Scam Variant #100,Tech Support Scam,Variant of tech support scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0101,Tech Support Scam Variant #101,Tech Support Scam,Variant of tech support scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0102,Job Scam Variant #102,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0103,Charity Scam Variant #103,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,Thank you for the warning. I will cancel this transaction.
PAT0104,Advance Fee Scam Variant #104,Advance Fee Scam,Variant of advance fee scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,Thank you for the warning. I will cancel this transaction.
PAT0105,Lottery Scam Variant #105,Lottery Scam,Variant of lottery scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0106,Charity Scam Variant #106,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,I appreciate the alert. Let me verify this independently first.
PAT0107,Romance Scam Variant #107,Romance Scam,Variant of romance scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,Thank you for the warning. I will cancel this transaction.
PAT0108,Crypto Scam Variant #108,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,Thank you for the warning. I will cancel this transaction.
PAT0109,Money Mule Variant #109,Money Mule,Variant of money mule using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,This transaction pattern suggests your account may be used to move funds for criminal activity. Please reconsider this transfer.,Thank you for the warning. I will cancel this transaction.
PAT0110,Job Scam Variant #110,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0111,Deepfake Scam Variant #111,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I appreciate the alert. Let me verify this independently first.
PAT0112,Job Scam Variant #112,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0113,Fake Bank Officer Variant #113,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I appreciate the alert. Let me verify this independently first.
PAT0114,Deepfake Scam Variant #114,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,Thank you for the warning. I will cancel this transaction.
PAT0115,Charity Scam Variant #115,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,Thank you for the warning. I will cancel this transaction.
PAT0116,Emergency Scam Variant #116,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,I didn't realize this was a scam. I will not proceed.
PAT0117,Tech Support Scam Variant #117,Tech Support Scam,Variant of tech support scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0118,Charity Scam Variant #118,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,I didn't realize this was a scam. I will not proceed.
PAT0119,Impersonation Scam Variant #119,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I appreciate the alert. Let me verify this independently first.
PAT0120,Advance Fee Scam Variant #120,Advance Fee Scam,Variant of advance fee scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,I appreciate the alert. Let me verify this independently first.
PAT0121,Job Scam Variant #121,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0122,Tech Support Scam Variant #122,Tech Support Scam,Variant of tech support scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0123,Emergency Scam Variant #123,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,I appreciate the alert. Let me verify this independently first.
PAT0124,Emergency Scam Variant #124,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,I appreciate the alert. Let me verify this independently first.
PAT0125,Job Scam Variant #125,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0126,Phishing Variant #126,Phishing,Variant of phishing using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I appreciate the alert. Let me verify this independently first.
PAT0127,Fake Bank Officer Variant #127,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I didn't realize this was a scam. I will not proceed.
PAT0128,Tech Support Scam Variant #128,Tech Support Scam,Variant of tech support scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0129,Crypto Scam Variant #129,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I didn't realize this was a scam. I will not proceed.
PAT0130,Emergency Scam Variant #130,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,Thank you for the warning. I will cancel this transaction.
PAT0131,Deepfake Scam Variant #131,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I didn't realize this was a scam. I will not proceed.
PAT0132,Crypto Scam Variant #132,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I didn't realize this was a scam. I will not proceed.
PAT0133,Tech Support Scam Variant #133,Tech Support Scam,Variant of tech support scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate technology companies do not make unsolicited calls about viruses or security issues. This appears to follow a known tech support scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0134,Money Mule Variant #134,Money Mule,Variant of money mule using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This transaction pattern suggests your account may be used to move funds for criminal activity. Please reconsider this transfer.,I appreciate the alert. Let me verify this independently first.
PAT0135,Fake Bank Officer Variant #135,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,Thank you for the warning. I will cancel this transaction.
PAT0136,Phishing Variant #136,Phishing,Variant of phishing using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I appreciate the alert. Let me verify this independently first.
PAT0137,Romance Scam Variant #137,Romance Scam,Variant of romance scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I appreciate the alert. Let me verify this independently first.
PAT0138,Fake Bank Officer Variant #138,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I didn't realize this was a scam. I will not proceed.
PAT0139,Romance Scam Variant #139,Romance Scam,Variant of romance scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I appreciate the alert. Let me verify this independently first.
PAT0140,Emergency Scam Variant #140,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,I appreciate the alert. Let me verify this independently first.
PAT0141,Charity Scam Variant #141,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,Thank you for the warning. I will cancel this transaction.
PAT0142,Emergency Scam Variant #142,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,Thank you for the warning. I will cancel this transaction.
PAT0143,Emergency Scam Variant #143,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,Thank you for the warning. I will cancel this transaction.
PAT0144,Fake Bank Officer Variant #144,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,Thank you for the warning. I will cancel this transaction.
PAT0145,Romance Scam Variant #145,Romance Scam,Variant of romance scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I appreciate the alert. Let me verify this independently first.
PAT0146,Crypto Scam Variant #146,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I appreciate the alert. Let me verify this independently first.
PAT0147,Phishing Variant #147,Phishing,Variant of phishing using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I appreciate the alert. Let me verify this independently first.
PAT0148,Fake Bank Officer Variant #148,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I didn't realize this was a scam. I will not proceed.
PAT0149,Deepfake Scam Variant #149,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I didn't realize this was a scam. I will not proceed.
PAT0150,Impersonation Scam Variant #150,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I didn't realize this was a scam. I will not proceed.
PAT0151,Crypto Scam Variant #151,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I didn't realize this was a scam. I will not proceed.
PAT0152,Fake Bank Officer Variant #152,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I appreciate the alert. Let me verify this independently first.
PAT0153,Deepfake Scam Variant #153,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,I didn't realize this was a scam. I will not proceed.
PAT0154,Impersonation Scam Variant #154,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I appreciate the alert. Let me verify this independently first.
PAT0155,Job Scam Variant #155,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0156,Crypto Scam Variant #156,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I didn't realize this was a scam. I will not proceed.
PAT0157,Charity Scam Variant #157,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,I appreciate the alert. Let me verify this independently first.
PAT0158,Fake Bank Officer Variant #158,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I didn't realize this was a scam. I will not proceed.
PAT0159,Job Scam Variant #159,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I appreciate the alert. Let me verify this independently first.
PAT0160,Job Scam Variant #160,Job Scam,Variant of job scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Legitimate employers never ask for payment as part of the hiring process. This matches a known employment scam pattern.,I didn't realize this was a scam. I will not proceed.
PAT0161,Lottery Scam Variant #161,Lottery Scam,Variant of lottery scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,You cannot win a lottery you didn't enter. Legitimate prizes never require upfront payment. This follows a known lottery scam pattern.,Thank you for the warning. I will cancel this transaction.
PAT0162,Impersonation Scam Variant #162,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I appreciate the alert. Let me verify this independently first.
PAT0163,Fake Bank Officer Variant #163,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I didn't realize this was a scam. I will not proceed.
PAT0164,Romance Scam Variant #164,Romance Scam,Variant of romance scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,I've noticed some concerning patterns in this transaction. Online relationships that quickly escalate to financial requests are a common scam tactic. Have you met this person in real life?,I didn't realize this was a scam. I will not proceed.
PAT0165,Advance Fee Scam Variant #165,Advance Fee Scam,Variant of advance fee scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,I appreciate the alert. Let me verify this independently first.
PAT0166,Impersonation Scam Variant #166,Impersonation Scam,Variant of impersonation scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,This request appears to impersonate an authority figure. Legitimate banks and government agencies never ask for payments through personal accounts or phone calls.,I didn't realize this was a scam. I will not proceed.
PAT0167,Investment Scam Variant #167,Investment Scam,Variant of investment scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I appreciate the alert. Let me verify this independently first.
PAT0168,Advance Fee Scam Variant #168,Advance Fee Scam,Variant of advance fee scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,Thank you for the warning. I will cancel this transaction.
PAT0169,Charity Scam Variant #169,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,I didn't realize this was a scam. I will not proceed.
PAT0170,Crypto Scam Variant #170,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,I didn't realize this was a scam. I will not proceed.
PAT0171,Deepfake Scam Variant #171,Deepfake Scam,Variant of deepfake scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,We've detected indicators consistent with deepfake-assisted fraud. Please verify the identity of the person you spoke with through an independent channel.,Thank you for the warning. I will cancel this transaction.
PAT0172,Fake Bank Officer Variant #172,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I appreciate the alert. Let me verify this independently first.
PAT0173,Phishing Variant #173,Phishing,Variant of phishing using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,This transaction appears to have originated from a phishing link. Please verify the website URL and never share OTPs or passwords.,I didn't realize this was a scam. I will not proceed.
PAT0174,Investment Scam Variant #174,Investment Scam,Variant of investment scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0175,Fake Bank Officer Variant #175,Fake Bank Officer,Variant of fake bank officer using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Banks never ask customers to transfer money to secure their accounts. This is a known impersonation tactic. Please call your bank directly.,I appreciate the alert. Let me verify this independently first.
PAT0176,Advance Fee Scam Variant #176,Advance Fee Scam,Variant of advance fee scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Legitimate services don't require upfront fees through informal channels. This matches a known advance fee fraud pattern.,I appreciate the alert. Let me verify this independently first.
PAT0177,Money Mule Variant #177,Money Mule,Variant of money mule using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,This transaction pattern suggests your account may be used to move funds for criminal activity. Please reconsider this transfer.,Thank you for the warning. I will cancel this transaction.
PAT0178,Investment Scam Variant #178,Investment Scam,Variant of investment scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,Thank you for the warning. I will cancel this transaction.
PAT0179,Investment Scam Variant #179,Investment Scam,Variant of investment scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,I notice this transaction matches patterns commonly associated with investment scams. No legitimate investment guarantees fixed returns. Have you independently verified this opportunity?,I didn't realize this was a scam. I will not proceed.
PAT0180,Emergency Scam Variant #180,Emergency Scam,Variant of emergency scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Critical,Block transaction automatically,Scammers create false urgency using emergency situations. Please independently verify this emergency before transferring any funds.,Thank you for the warning. I will cancel this transaction.
PAT0181,Charity Scam Variant #181,Charity Scam,Variant of charity scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,Medium,Show warning to customer,Please verify this charity through official government databases before donating. Scammers exploit emotions around disasters and social causes.,Thank you for the warning. I will cancel this transaction.
PAT0182,Crypto Scam Variant #182,Crypto Scam,Variant of crypto scam using alternative social engineering techniques and communication channels.,variant_pattern|social_engineering|alternate_channel,High,Initiate agentic conversation,No legitimate cryptocurrency platform guarantees returns. This matches patterns of known crypto investment fraud schemes.,Thank you for the warning. I will cancel this transaction.
